"nb_inscrits,nb_presents,taux_reussite,taux_mentions,cluster"
"3,3,0.6666666666666666,0.0,0"
"12,4,0.16666666666666666,0.0,0"
"5,3,0.2,0.0,0"
"1,1,0.0,,0"
"3,2,0.0,,0"
"1,0,0.0,,0"
"1,0,0.0,,0"
"2,1,0.5,0.0,0"
"10,7,0.3,0.0,0"
"2,0,0.0,,0"
"1,1,1.0,0.0,0"
"1,1,0.0,,0"
"15,7,0.3333333333333333,0.2,0"
"1,1,1.0,0.0,0"
"2,1,0.5,1.0,0"
"2,2,1.0,1.0,0"
"1,0,0.0,,0"
"4,2,0.5,0.0,0"
"15,9,0.3333333333333333,0.2,0"
"19,13,0.47368421052631576,0.1111111111111111,0"
"1,0,0.0,,0"
"9102,9100,0.98901340364755,0.8104865585425461,1"
"2,2,0.5,1.0,0"
"16,15,0.75,0.5833333333333334,0"
"6,6,1.0,0.5,0"
"13,13,0.8461538461538461,0.6363636363636364,0"
"39,38,0.8974358974358975,0.9142857142857143,0"
"2,2,1.0,1.0,0"
"3,3,1.0,0.3333333333333333,0"
"15,15,1.0,0.6,0"
"7,7,0.5714285714285714,0.75,0"
"3,3,1.0,0.6666666666666666,0"
"4,4,1.0,0.5,0"
"74,74,0.8243243243243243,0.639344262295082,0"
"2,2,0.5,1.0,0"
"2,2,1.0,0.0,0"
"1,1,1.0,1.0,0"
"4,4,0.5,1.0,0"
"1,1,1.0,1.0,0"
"3,3,1.0,0.6666666666666666,0"
"1,1,1.0,1.0,0"
"2,2,1.0,0.5,0"
"1,1,1.0,0.0,0"
"1,1,1.0,1.0,0"
"2,2,1.0,1.0,0"
"5,5,1.0,1.0,0"
"2,2,1.0,1.0,0"
"12,12,0.75,0.7777777777777778,0"
"14,13,0.7857142857142857,0.45454545454545453,0"
"3,2,0.6666666666666666,0.5,0"
"6,6,1.0,0.8333333333333334,0"
"28,28,0.8214285714285714,0.5217391304347826,0"
"15,15,1.0,0.6,0"
"16,15,0.8125,0.38461538461538464,0"
"8,8,1.0,0.625,0"
"7,7,1.0,0.7142857142857143,0"
"5,3,0.6,0.0,0"
"24,22,0.8333333333333334,0.4,0"
"844,842,0.8376777251184834,0.5827439886845828,1"
"4,4,0.75,0.3333333333333333,0"
"6,6,1.0,0.8333333333333334,0"
"4,4,1.0,0.25,0"
"330,330,0.9,0.6599326599326599,1"
"145,144,0.8689655172413793,0.5714285714285714,0"
"293,291,0.8703071672354948,0.5803921568627451,1"
"10,9,0.8,0.625,0"
"4,4,1.0,0.75,0"
"22,22,0.6818181818181818,0.6,0"
"17,17,0.7058823529411765,0.75,0"
"79,79,0.8607594936708861,0.5588235294117647,0"
"118,117,0.847457627118644,0.74,0"
"615,614,0.8975609756097561,0.6956521739130435,1"
"6,6,1.0,0.6666666666666666,0"
"9,9,0.6666666666666666,0.5,0"
"7,7,1.0,0.2857142857142857,0"
"47,47,0.9148936170212766,0.6744186046511628,0"
"141,139,0.8865248226950354,0.704,0"
"5,5,0.8,0.5,0"
"14,14,1.0,0.7857142857142857,0"
"216,212,0.9305555555555556,0.6268656716417911,0"
"800,800,0.94125,0.5962815405046481,1"
"126,124,0.9761904761904762,0.6422764227642277,0"
"134,134,0.9925373134328358,0.8421052631578947,0"
"42,42,1.0,0.5952380952380952,0"
"35,35,1.0,0.5428571428571428,0"
"14,14,1.0,0.5714285714285714,0"
"23,23,1.0,0.6086956521739131,0"
"21,21,1.0,0.6666666666666666,0"
"125,125,0.984,0.5772357723577236,0"
"105,105,0.9714285714285714,0.6176470588235294,0"
"234,234,0.9700854700854701,0.7268722466960352,0"
"688,688,0.9665697674418605,0.6451127819548872,1"
"618,618,0.9352750809061489,0.5640138408304498,1"
"16,16,1.0,0.625,0"
"6,5,0.8333333333333334,0.8,0"
"23,23,0.8260869565217391,0.6842105263157895,0"
"22,20,0.7272727272727273,0.5,0"
"7,6,0.8571428571428571,0.5,0"
"6,6,1.0,1.0,0"
"14,14,1.0,0.9285714285714286,0"
"7,7,0.8571428571428571,0.5,0"
"1,1,1.0,0.0,0"
"19,19,0.9473684210526315,0.7222222222222222,0"
"1,1,1.0,0.0,0"
"10,10,1.0,0.8,0"
"113,112,0.8407079646017699,0.6631578947368421,0"
"16,16,0.6875,0.2727272727272727,0"
"14,13,0.7857142857142857,0.7272727272727273,0"
"9,9,0.7777777777777778,0.5714285714285714,0"
"22,22,0.9090909090909091,0.8,0"
"4,4,1.0,0.5,0"
"2,1,0.5,0.0,0"
"20,20,0.7,0.7142857142857143,0"
"1,1,0.0,,0"
"60,60,0.8833333333333333,0.7169811320754716,0"
"11,7,0.45454545454545453,0.8,0"
"2,2,1.0,0.0,0"
"10,9,0.8,0.625,0"
"3,3,1.0,0.0,0"
"2,2,1.0,0.0,0"
"7,7,0.8571428571428571,0.6666666666666666,0"
"4,3,0.5,0.5,0"
"44,40,0.7727272727272727,0.5,0"
"1,1,1.0,1.0,0"
"3,3,0.6666666666666666,0.5,0"
"7,6,0.7142857142857143,0.8,0"
"1,1,1.0,0.0,0"
"75,69,0.8,0.7,0"
"11,9,0.36363636363636365,0.5,0"
"1,1,1.0,1.0,0"
"1,1,1.0,0.0,0"
"4,2,0.0,,0"
"3,3,1.0,1.0,0"
"1,1,1.0,1.0,0"
"11,11,0.9090909090909091,0.7,0"
"18,18,0.8333333333333334,0.6666666666666666,0"
"5,4,0.8,1.0,0"
"45,44,0.9333333333333333,0.9047619047619048,0"
"3,1,0.0,,0"
"1,0,0.0,,0"
"3,2,0.0,,0"
"1,1,0.0,,0"
"4,4,1.0,1.0,0"
"7,6,0.8571428571428571,1.0,0"
"6,5,0.8333333333333334,0.8,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"1,1,0.0,,0"
"11,11,0.9090909090909091,0.6,0"
"10,10,0.8,0.75,0"
"2,2,1.0,1.0,0"
"10,9,0.7,1.0,0"
"19,16,0.8421052631578947,0.875,0"
"10,7,0.6,0.16666666666666666,0"
"6,4,0.6666666666666666,0.75,0"
"2,2,1.0,0.5,0"
"2,2,0.5,0.0,0"
"5,5,1.0,0.8,0"
"6,4,0.3333333333333333,1.0,0"
"1,1,0.0,,0"
"143,95,0.46153846153846156,0.36363636363636365,0"
"1,0,0.0,,0"
"1,0,0.0,,0"
"3,1,0.0,,0"
"1,1,0.0,,0"
"1,0,0.0,,0"
"1,1,1.0,0.0,0"
"2,0,0.0,,0"
"1,0,0.0,,0"
"5,5,0.8,0.75,0"
"1,0,0.0,,0"
"1,0,0.0,,0"
"6,6,0.3333333333333333,0.0,0"
"3,3,1.0,0.0,0"
"5,5,0.8,0.0,0"
"1,1,0.0,,0"
"1,0,0.0,,0"
"2,2,1.0,0.0,0"
"10,6,0.2,0.5,0"
"1,1,1.0,0.0,0"
"4,1,0.0,,0"
"2,1,0.5,1.0,0"
"1,0,0.0,,0"
"1,1,1.0,0.0,0"
"1,0,0.0,,0"
"2,0,0.0,,0"
"1,1,1.0,1.0,0"
"6,5,0.5,0.3333333333333333,0"
"2,2,1.0,0.0,0"
"4,4,1.0,1.0,0"
"1,0,0.0,,0"
"1,0,0.0,,0"
"2,0,0.0,,0"
"2,1,0.0,,0"
"1,0,0.0,,0"
"8,5,0.5,0.0,0"
"22,11,0.2727272727272727,0.0,0"
"16,12,0.625,1.0,0"
"1,0,0.0,,0"
"7393,7393,0.974570539699716,0.7186675919500347,1"
"29,28,0.6896551724137931,0.65,0"
"8,8,1.0,0.75,0"
"8,8,0.75,0.8333333333333334,0"
"38,38,0.8421052631578947,0.65625,0"
"8,8,1.0,0.875,0"
"72,72,0.9027777777777778,0.6615384615384615,0"
"2,2,0.0,,0"
"6,6,1.0,0.3333333333333333,0"
"45,45,0.8888888888888888,0.275,0"
"57,57,0.8596491228070176,0.5510204081632653,0"
"49,49,0.8163265306122449,0.525,0"
"37,37,0.8648648648648649,0.71875,0"
"35,35,0.8571428571428571,0.5333333333333333,0"
"17,17,0.8235294117647058,0.6428571428571429,0"
"27,27,0.8148148148148148,0.6818181818181818,0"
"3,3,1.0,0.6666666666666666,0"
"7,7,0.42857142857142855,0.3333333333333333,0"
"10,10,0.5,0.2,0"
"26,26,0.8846153846153846,0.5217391304347826,0"
"66,66,0.7575757575757576,0.54,0"
"5,5,0.8,0.25,0"
"9,9,0.6666666666666666,1.0,0"
"22,22,0.8636363636363636,0.7368421052631579,0"
"258,256,0.8023255813953488,0.6376811594202898,1"
"37,37,0.8378378378378378,0.5161290322580645,0"
"43,43,0.8372093023255814,0.6388888888888888,0"
"6,6,0.5,0.6666666666666666,0"
"144,143,0.7430555555555556,0.6074766355140186,0"
"44,44,0.8181818181818182,0.5833333333333334,0"
"25,24,0.6,0.5333333333333333,0"
"11,11,1.0,0.9090909090909091,0"
"21,21,0.9523809523809523,0.6,0"
"7,7,0.8571428571428571,0.16666666666666666,0"
"11,11,0.9090909090909091,1.0,0"
"25,25,1.0,0.88,0"
"9,9,1.0,0.6666666666666666,0"
"31,31,0.7419354838709677,0.6086956521739131,0"
"33,33,0.8484848484848485,0.42857142857142855,0"
"67,66,0.8507462686567164,0.6842105263157895,0"
"61,59,0.5737704918032787,0.4857142857142857,0"
"504,502,0.8630952380952381,0.664367816091954,1"
"63,62,0.8095238095238095,0.6470588235294118,0"
"126,125,0.9126984126984127,0.6869565217391305,0"
"259,259,0.8957528957528957,0.6336206896551724,1"
"5,5,0.6,0.6666666666666666,0"
"41,40,0.8780487804878049,0.5833333333333334,0"
"39,38,0.8461538461538461,0.36363636363636365,0"
"15,15,0.9333333333333333,0.42857142857142855,0"
"15,15,0.8666666666666667,0.5384615384615384,0"
"7,6,0.2857142857142857,0.5,0"
"62,61,0.967741935483871,0.5333333333333333,0"
"10,10,1.0,0.6,0"
"56,56,0.9285714285714286,0.6346153846153846,0"
"5,5,1.0,1.0,0"
"14,13,0.9285714285714286,0.46153846153846156,0"
"11,11,0.9090909090909091,0.5,0"
"352,351,0.7642045454545454,0.516728624535316,1"
"60,60,0.7833333333333333,0.40425531914893614,0"
"85,85,0.8117647058823529,0.6231884057971014,0"
"56,55,0.6785714285714286,0.39473684210526316,0"
"339,337,0.9056047197640118,0.5732899022801303,1"
"236,233,0.864406779661017,0.5147058823529411,1"
"62,62,0.7903225806451613,0.5714285714285714,0"
"17,16,0.8235294117647058,0.7142857142857143,0"
"11,11,0.8181818181818182,0.6666666666666666,0"
"39,39,0.7948717948717948,0.6774193548387096,0"
"5,5,1.0,0.6,0"
"40,39,0.825,0.48484848484848486,0"
"8,8,1.0,0.75,0"
"49,49,0.8979591836734694,0.7272727272727273,0"
"12,12,1.0,0.5833333333333334,0"
"4,4,1.0,0.5,0"
"4,4,0.5,0.5,0"
"48,48,0.7708333333333334,0.5675675675675675,0"
"3,3,1.0,0.3333333333333333,0"
"56,56,0.9821428571428571,0.8181818181818182,0"
"25,25,0.96,0.625,0"
"157,157,0.910828025477707,0.5314685314685315,0"
"77,77,0.974025974025974,0.52,0"
"43,43,1.0,0.813953488372093,0"
"26,26,1.0,0.5,0"
"125,125,0.936,0.5299145299145299,0"
"199,199,0.9698492462311558,0.6321243523316062,0"
"379,379,0.9577836411609498,0.5316804407713499,1"
"395,395,0.9341772151898734,0.5094850948509485,1"
"89,89,0.9550561797752809,0.47058823529411764,0"
"85,85,0.9529411764705882,0.5925925925925926,0"
"404,404,0.9381188118811881,0.5593667546174143,1"
"781,778,0.9462227912932138,0.456021650879567,1"
"311,311,0.887459807073955,0.43478260869565216,1"
"60,60,0.9333333333333333,0.48214285714285715,0"
"6,6,0.6666666666666666,0.25,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"4,4,0.75,0.6666666666666666,0"
"2,2,1.0,0.5,0"
"1,1,1.0,0.0,0"
"1,1,0.0,,0"
"1,1,1.0,1.0,0"
"1,1,0.0,,0"
"2,2,1.0,0.0,0"
"4,2,0.5,0.0,0"
"3,2,0.6666666666666666,0.0,0"
"4,3,0.75,0.0,0"
"27,26,0.7407407407407407,0.45,0"
"4,3,0.75,0.0,0"
"1,1,0.0,,0"
"1,1,1.0,0.0,0"
"5,4,0.8,0.5,0"
"20,19,0.75,0.8,0"
"3,2,0.3333333333333333,1.0,0"
"20,17,0.6,0.6666666666666666,0"
"79,71,0.7721518987341772,0.7704918032786885,0"
"6,5,0.6666666666666666,0.75,0"
"2,2,1.0,1.0,0"
"3,2,0.6666666666666666,0.5,0"
"17,16,0.9411764705882353,0.75,0"
"13,12,0.6923076923076923,0.6666666666666666,0"
"1,1,1.0,0.0,0"
"5,5,1.0,0.4,0"
"8,6,0.75,0.5,0"
"71,65,0.7887323943661971,0.625,0"
"3,2,0.6666666666666666,0.5,0"
"4,3,0.25,1.0,0"
"1,0,0.0,,0"
"3,3,0.6666666666666666,0.0,0"
"8,7,0.25,0.0,0"
"2,2,0.5,1.0,0"
"6,6,1.0,0.3333333333333333,0"
"3,3,0.6666666666666666,0.0,0"
"2,2,1.0,0.5,0"
"1,0,0.0,,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"38,33,0.7105263157894737,0.6296296296296297,0"
"14,13,0.7142857142857143,0.6,0"
"9,6,0.2222222222222222,0.5,0"
"3,3,1.0,1.0,0"
"2,2,0.0,,0"
"7,7,1.0,0.5714285714285714,0"
"144,101,0.4097222222222222,0.5423728813559322,0"
"1,1,0.0,,0"
"1,1,1.0,1.0,0"
"5,4,0.8,0.0,0"
"1,1,1.0,0.0,0"
"3,3,1.0,0.0,0"
"4,3,0.75,0.0,0"
"9,4,0.0,,0"
"4,0,0.0,,0"
"4,1,0.0,,0"
"6,4,0.3333333333333333,0.5,0"
"1,1,1.0,1.0,0"
"2,0,0.0,,0"
"16,6,0.1875,0.3333333333333333,0"
"2,1,0.0,,0"
"8,7,0.75,0.6666666666666666,0"
"1,1,0.0,,0"
"7,1,0.0,,0"
"17,12,0.4117647058823529,0.8571428571428571,0"
"10,6,0.4,0.75,0"
"1,0,0.0,,0"
"9201,9201,0.9705466797087273,0.761030235162374,1"
"7,7,0.7142857142857143,0.8,0"
"1,1,1.0,0.0,0"
"17,17,0.6470588235294118,0.6363636363636364,0"
"11,11,0.8181818181818182,0.8888888888888888,0"
"10,10,1.0,0.9,0"
"44,44,0.8863636363636364,0.7435897435897436,0"
"1,1,0.0,,0"
"1,1,0.0,,0"
"9,9,1.0,0.4444444444444444,0"
"17,17,0.47058823529411764,0.375,0"
"1,1,0.0,,0"
"1,1,0.0,,0"
"6,6,0.6666666666666666,0.75,0"
"2,2,0.5,1.0,0"
"6,6,0.6666666666666666,0.5,0"
"8,8,0.75,0.8333333333333334,0"
"81,81,0.9259259259259259,0.72,0"
"2,2,1.0,1.0,0"
"3,3,0.3333333333333333,1.0,0"
"1,1,1.0,1.0,0"
"6,6,1.0,0.6666666666666666,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"1,1,1.0,0.0,0"
"1,1,1.0,1.0,0"
"1,1,0.0,,0"
"3,3,1.0,1.0,0"
"1,1,1.0,1.0,0"
"5,5,0.8,0.75,0"
"6,6,0.8333333333333334,0.2,0"
"1,1,1.0,1.0,0"
"24,23,0.75,0.4444444444444444,0"
"5,4,0.6,0.6666666666666666,0"
"4,3,0.5,0.0,0"
"24,24,0.875,0.2857142857142857,0"
"18,17,0.6666666666666666,0.08333333333333333,0"
"6,6,1.0,0.3333333333333333,0"
"16,16,0.875,0.7142857142857143,0"
"1,1,1.0,1.0,0"
"5,5,1.0,0.4,0"
"4,4,1.0,1.0,0"
"7,7,0.7142857142857143,0.2,0"
"18,18,0.8888888888888888,0.25,0"
"647,646,0.8145285935085008,0.5673624288425048,1"
"7,6,0.8571428571428571,0.5,0"
"4,4,0.75,1.0,0"
"13,13,0.7692307692307693,0.6,0"
"330,328,0.8363636363636363,0.5905797101449275,1"
"320,320,0.86875,0.6115107913669064,1"
"192,192,0.90625,0.7413793103448276,0"
"11,11,1.0,0.9090909090909091,0"
"5,5,0.8,0.75,0"
"33,33,0.8181818181818182,0.6666666666666666,0"
"17,17,0.7058823529411765,0.75,0"
"71,71,0.9014084507042254,0.625,0"
"120,120,0.7666666666666667,0.6304347826086957,0"
"589,587,0.8641765704584041,0.6895874263261297,1"
"12,12,0.9166666666666666,0.6363636363636364,0"
"3,3,1.0,0.0,0"
"3,3,0.0,,0"
"33,33,0.7878787878787878,0.6153846153846154,0"
"164,162,0.8780487804878049,0.6180555555555556,0"
"8,8,0.875,0.42857142857142855,0"
"24,24,0.9583333333333334,0.782608695652174,0"
"207,200,0.8502415458937198,0.4090909090909091,0"
"1,1,1.0,1.0,0"
"766,766,0.8785900783289817,0.5007429420505201,1"
"98,96,0.9591836734693877,0.4787234042553192,0"
"125,125,0.992,0.6693548387096774,0"
"33,33,1.0,0.48484848484848486,0"
"22,22,1.0,0.5909090909090909,0"
"13,13,0.6923076923076923,0.5555555555555556,0"
"25,25,0.92,0.5217391304347826,0"
"16,16,0.9375,0.4666666666666667,0"
"123,123,0.9512195121951219,0.6324786324786325,0"
"109,109,0.8990825688073395,0.6224489795918368,0"
"310,310,0.9096774193548387,0.5921985815602837,1"
"802,802,0.9239401496259352,0.5290148448043185,1"
"644,644,0.8975155279503105,0.4411764705882353,1"
"22,22,0.9545454545454546,0.23809523809523808,0"
"4,4,1.0,1.0,0"
"7,6,0.42857142857142855,0.3333333333333333,0"
"2,1,0.0,,0"
"33,30,0.7575757575757576,0.56,0"
"30,25,0.6,0.5,0"
"15,15,0.8666666666666667,0.5384615384615384,0"
"6,6,1.0,1.0,0"
"14,14,0.9285714285714286,0.7692307692307693,0"
"3,3,1.0,0.6666666666666666,0"
"1,1,1.0,0.0,0"
"3,3,1.0,0.3333333333333333,0"
"2,2,1.0,1.0,0"
"1,1,1.0,1.0,0"
"17,17,0.9411764705882353,0.8125,0"
"1,1,1.0,0.0,0"
"9,9,1.0,0.7777777777777778,0"
"123,120,0.7804878048780488,0.6666666666666666,0"
"29,28,0.896551724137931,0.4230769230769231,0"
"17,16,0.8235294117647058,0.7142857142857143,0"
"2,2,1.0,0.0,0"
"12,12,0.8333333333333334,0.4,0"
"18,18,0.8333333333333334,0.6666666666666666,0"
"3,3,1.0,0.3333333333333333,0"
"17,17,0.5882352941176471,0.6,0"
"17,17,0.8235294117647058,0.7142857142857143,0"
"66,66,0.8636363636363636,0.5614035087719298,0"
"4,2,0.25,0.0,0"
"1,1,1.0,1.0,0"
"7,7,1.0,0.2857142857142857,0"
"14,14,0.8571428571428571,0.25,0"
"11,11,0.8181818181818182,0.2222222222222222,0"
"3,3,1.0,1.0,0"
"1,1,1.0,0.0,0"
"5,5,1.0,0.0,0"
"2,2,0.5,0.0,0"
"50,45,0.8,0.225,0"
"1,1,1.0,0.0,0"
"4,4,1.0,0.75,0"
"20,20,0.8,0.5625,0"
"13,7,0.23076923076923078,0.0,0"
"75,69,0.7333333333333333,0.4909090909090909,0"
"8,7,0.625,0.6,0"
"1,1,1.0,1.0,0"
"5,5,0.8,0.5,0"
"4,4,0.0,,0"
"2,2,1.0,0.5,0"
"15,13,0.4666666666666667,0.8571428571428571,0"
"11,10,0.7272727272727273,1.0,0"
"9,9,0.7777777777777778,0.7142857142857143,0"
"3,3,1.0,0.3333333333333333,0"
"57,54,0.7543859649122807,0.6046511627906976,0"
"2,2,1.0,0.5,0"
"2,2,1.0,1.0,0"
"1,1,1.0,0.0,0"
"1,1,0.0,,0"
"4,4,0.75,0.6666666666666666,0"
"3,3,1.0,0.6666666666666666,0"
"1,1,0.0,,0"
"3,2,0.3333333333333333,1.0,0"
"2,2,1.0,0.5,0"
"6,6,0.5,0.6666666666666666,0"
"4,4,1.0,1.0,0"
"2,2,1.0,1.0,0"
"8,8,0.625,0.6,0"
"4,3,0.5,1.0,0"
"7,6,0.7142857142857143,0.8,0"
"3,3,0.6666666666666666,1.0,0"
"9,5,0.3333333333333333,0.6666666666666666,0"
"4,3,0.75,0.3333333333333333,0"
"119,81,0.42016806722689076,0.3,0"
"1,1,0.0,,0"
"1,0,0.0,,0"
"1,1,0.0,,0"
"2,1,0.5,0.0,0"
"1,0,0.0,,0"
"1,0,0.0,,0"
"1,0,0.0,,0"
"6,4,0.6666666666666666,0.0,0"
"5,3,0.6,0.0,0"
"6,3,0.5,0.0,0"
"1,1,0.0,,0"
"1,0,0.0,,0"
"1,1,1.0,0.0,0"
"6,4,0.16666666666666666,0.0,0"
"1,0,0.0,,0"
"2,1,0.5,0.0,0"
"3,1,0.3333333333333333,0.0,0"
"1,1,1.0,0.0,0"
"1,1,0.0,,0"
"1,0,0.0,,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"3,1,0.0,,0"
"9,9,1.0,0.4444444444444444,0"
"2,0,0.0,,0"
"2,0,0.0,,0"
"6,3,0.16666666666666666,1.0,0"
"1,1,0.0,,0"
"1,1,0.0,,0"
"8,3,0.125,0.0,0"
"18,11,0.3333333333333333,0.6666666666666666,0"
"16,9,0.4375,0.2857142857142857,0"
"1,1,1.0,0.0,0"
"7303,7303,0.9613857318910037,0.7021791767554479,1"
"30,30,0.7333333333333333,0.6363636363636364,0"
"3,3,0.3333333333333333,1.0,0"
"3,3,1.0,0.6666666666666666,0"
"31,31,0.8387096774193549,0.5,0"
"13,13,1.0,0.5384615384615384,0"
"89,89,0.898876404494382,0.7375,0"
"1,1,1.0,1.0,0"
"5,5,0.8,0.5,0"
"50,50,0.7,0.42857142857142855,0"
"52,51,0.6923076923076923,0.5,0"
"39,39,0.8461538461538461,0.48484848484848486,0"
"32,32,0.59375,0.21052631578947367,0"
"16,16,0.8125,0.38461538461538464,0"
"22,22,0.6363636363636364,0.35714285714285715,0"
"29,29,0.6206896551724138,0.5555555555555556,0"
"3,3,0.6666666666666666,0.5,0"
"7,7,0.7142857142857143,0.2,0"
"11,11,0.6363636363636364,0.7142857142857143,0"
"24,23,0.6666666666666666,0.6875,0"
"41,41,0.7560975609756098,0.7419354838709677,0"
"4,4,0.5,1.0,0"
"7,7,0.7142857142857143,0.6,0"
"34,34,0.8235294117647058,0.5357142857142857,0"
"249,245,0.6867469879518072,0.5263157894736842,0"
"43,43,0.6976744186046512,0.6,0"
"38,38,0.8947368421052632,0.5294117647058824,0"
"11,11,0.36363636363636365,0.75,0"
"130,130,0.7692307692307693,0.57,0"
"34,34,0.8529411764705882,0.6896551724137931,0"
"27,27,0.8518518518518519,0.4782608695652174,0"
"10,10,0.8,0.75,0"
"17,17,0.6470588235294118,0.45454545454545453,0"
"2,2,1.0,0.5,0"
"13,13,0.7692307692307693,0.6,0"
"21,21,1.0,0.7619047619047619,0"
"9,9,0.7777777777777778,0.5714285714285714,0"
"23,22,0.6956521739130435,0.4375,0"
"27,27,0.6666666666666666,0.7222222222222222,0"
"67,67,0.8955223880597015,0.65,0"
"63,62,0.7777777777777778,0.5102040816326531,0"
"506,503,0.8320158102766798,0.5866983372921615,1"
"84,83,0.6904761904761905,0.5517241379310345,0"
"120,120,0.875,0.7142857142857143,0"
"273,271,0.8241758241758241,0.6933333333333334,1"
"11,11,0.9090909090909091,0.4,0"
"22,20,0.7272727272727273,0.375,0"
"24,23,0.875,0.42857142857142855,0"
"16,16,0.875,0.42857142857142855,0"
"17,17,0.8823529411764706,0.2,0"
"14,12,0.6428571428571429,0.3333333333333333,0"
"62,61,0.9193548387096774,0.40350877192982454,0"
"9,9,0.7777777777777778,0.42857142857142855,0"
"60,59,0.95,0.49122807017543857,0"
"4,4,0.75,0.6666666666666666,0"
"9,9,0.5555555555555556,0.2,0"
"22,21,0.8181818181818182,0.3888888888888889,0"
"277,276,0.7581227436823105,0.49523809523809526,0"
"59,59,0.7288135593220338,0.6744186046511628,0"
"87,87,0.8620689655172413,0.7066666666666667,0"
"44,44,0.7272727272727273,0.5625,0"
"100,99,0.76,0.47368421052631576,0"
"357,353,0.8179271708683473,0.5068493150684932,1"
"265,264,0.7849056603773585,0.5336538461538461,0"
"18,18,0.6666666666666666,0.6666666666666666,0"
"19,19,0.7894736842105263,0.8666666666666667,0"
"29,29,0.7586206896551724,0.5909090909090909,0"
"6,6,0.8333333333333334,0.6,0"
"37,37,0.8378378378378378,0.5806451612903226,0"
"7,7,0.42857142857142855,0.6666666666666666,0"
"56,56,0.7678571428571429,0.6744186046511628,0"
"9,9,0.6666666666666666,0.5,0"
"6,6,0.6666666666666666,1.0,0"
"11,11,0.7272727272727273,0.625,0"
"53,53,0.7735849056603774,0.6585365853658537,0"
"4,4,1.0,1.0,0"
"45,45,0.9777777777777777,0.75,0"
"27,21,0.6666666666666666,0.6111111111111112,0"
"6,6,0.8333333333333334,0.8,0"
"171,171,0.8830409356725146,0.423841059602649,0"
"82,81,0.9512195121951219,0.5128205128205128,0"
"41,41,1.0,0.5365853658536586,0"
"41,41,0.975609756097561,0.5,0"
"122,122,0.8934426229508197,0.45871559633027525,0"
"200,200,0.93,0.5,0"
"347,347,0.9135446685878963,0.4668769716088328,1"
"390,390,0.9358974358974359,0.4904109589041096,1"
"67,67,0.9104477611940298,0.5245901639344263,0"
"79,79,0.9240506329113924,0.4657534246575342,0"
"367,367,0.8991825613079019,0.42727272727272725,1"
"856,856,0.889018691588785,0.3679369250985545,1"
"242,242,0.8264462809917356,0.3,1"
"47,47,0.7446808510638298,0.2571428571428571,0"
"18,17,0.8333333333333334,0.3333333333333333,0"
"1,1,1.0,1.0,0"
"1,1,1.0,1.0,0"
"3,3,1.0,1.0,0"
"1,1,1.0,1.0,0"
"5,5,1.0,1.0,0"
"1,1,1.0,1.0,0"
"1,1,0.0,,0"
"1,1,1.0,1.0,0"
"2,2,1.0,1.0,0"
"1,1,1.0,0.0,0"
"2,2,1.0,0.0,0"
"1,1,1.0,0.0,0"
